,WKT,circuito,Partido,seccional,porcentaje_circuito
10,"POLYGON ((-64.0979720956389 -31.3805755095623,-64.10443004934 -31.3820503668885,-64.1049755215274 -31.3821749127081,-64.1086912503489 -31.3830271885647,-64.110685766527 -31.3834846485773,-64.1180860814348 -31.3852245572788,-64.1196044937441 -31.3855510982636,-64.1188815706023 -31.3751125735387,-64.1182807330169 -31.366434260377,-64.1177977814944 -31.3594572906323,-64.0971060557523 -31.3591531597042,-64.0979720956389 -31.3805755095623))",013E,MST - NUEVA IZQUIERDA,9,0.015047879616963
11,"POLYGON ((-64.0979720956389 -31.3805755095623,-64.10443004934 -31.3820503668885,-64.1049755215274 -31.3821749127081,-64.1086912503489 -31.3830271885647,-64.110685766527 -31.3834846485773,-64.1180860814348 -31.3852245572788,-64.1196044937441 -31.3855510982636,-64.1188815706023 -31.3751125735387,-64.1182807330169 -31.366434260377,-64.1177977814944 -31.3594572906323,-64.0971060557523 -31.3591531597042,-64.0979720956389 -31.3805755095623))",013E,MOVIMIENTO LIBRES DEL SUR,9,0.0232558139534883
12,"POLYGON ((-64.1861092272689 -31.4207653085696,-64.1875292958514 -31.4203753337674,-64.1888892710623 -31.4200154385692,-64.1882691792397 -31.4185053927014,-64.1896792101996 -31.4181254649188,-64.1898792894704 -31.4185655560783,-64.1899592378719 -31.4182954909372,-64.1900192616089 -31.4181055019919,-64.1903492230648 -31.418005576824,-64.1909392308786 -31.417855598895,-64.1922392737766 -31.4174657172909,-64.1935393037842 -31.4170759252672,-64.1935486374054 -31.417073171994,-64.1930884465975 -31.4158388576447,-64.1926576389475 -31.4146832473701,-64.1922176837468 -31.4135031558838,-64.1922091360094 -31.4135056497798,-64.1918990688007 -31.4127356096,-64.1918890864313 -31.4124055503414,-64.1916090614714 -31.4123855118678,-64.1914790191666 -31.4116854961479,-64.1911890108694 -31.4111954228196,-64.1906790034532 -31.4101153494049,-64.1906780096359 -31.4101129001196,-64.1895088145765 -31.4104549520711,-64.1895089810733 -31.4104553152022,-64.1880989213256 -31.4108651901043,-64.1868089243864 -31.4112550369833,-64.1853788899701 -31.4116649874855,-64.1839888953815 -31.4120848870191,-64.1826588089084 -31.4124648725162,-64.1813287785376 -31.412854869499,-64.180018793424 -31.4132347794125,-64.1786087229925 -31.4136047868385,-64.1773086874155 -31.4139848374826,-64.1773034631669 -31.4139724071019,-64.1758639375851 -31.4144426465717,-64.1752630181285 -31.4146049152348,-64.1744831312668 -31.4149256261472,-64.1744486780417 -31.4159848679955,-64.1737087534956 -31.4173549659221,-64.1735477223798 -31.4179489199147,-64.1726188560656 -31.4213750927868,-64.1720188634989 -31.4224050896656,-64.1719142193052 -31.4225097537168,-64.1741006942575 -31.4233961462789,-64.1741190183463 -31.4233950542509,-64.1744290211688 -31.4235351125002,-64.1747990143051 -31.4236950547695,-64.1766890653053 -31.4231750450814,-64.177869057108 -31.4228550708877,-64.1793291446673 -31.4224850591947,-64.1807291367698 -31.4221450367397,-64.1820591830096 -31.4218151117329,-64.1834392022112 -31.4214751649708,-64.1837792090802 -31.4213951351928,-64.1843892379204 -31.4212251506373,-64.1847592056859 -31.4211251641998,-64.1861092272689 -31.4207653085696))",0001,CORDOBA CAMBIA,11,0.2436855930491008
13,"POLYGON ((-64.1861092272689 -31.4207653085696,-64.1875292958514 -31.4203753337674,-64.1888892710623 -31.4200154385692,-64.1882691792397 -31.4185053927014,-64.1896792101996 -31.4181254649188,-64.1898792894704 -31.4185655560783,-64.1899592378719 -31.4182954909372,-64.1900192616089 -31.4181055019919,-64.1903492230648 -31.418005576824,-64.1909392308786 -31.417855598895,-64.1922392737766 -31.4174657172909,-64.1935393037842 -31.4170759252672,-64.1935486374054 -31.417073171994,-64.1930884465975 -31.4158388576447,-64.1926576389475 -31.4146832473701,-64.1922176837468 -31.4135031558838,-64.1922091360094 -31.4135056497798,-64.1918990688007 -31.4127356096,-64.1918890864313 -31.4124055503414,-64.1916090614714 -31.4123855118678,-64.1914790191666 -31.4116854961479,-64.1911890108694 -31.4111954228196,-64.1906790034532 -31.4101153494049,-64.1906780096359 -31.4101129001196,-64.1895088145765 -31.4104549520711,-64.1895089810733 -31.4104553152022,-64.1880989213256 -31.4108651901043,-64.1868089243864 -31.4112550369833,-64.1853788899701 -31.4116649874855,-64.1839888953815 -31.4120848870191,-64.1826588089084 -31.4124648725162,-64.1813287785376 -31.412854869499,-64.180018793424 -31.4132347794125,-64.1786087229925 -31.4136047868385,-64.1773086874155 -31.4139848374826,-64.1773034631669 -31.4139724071019,-64.1758639375851 -31.4144426465717,-64.1752630181285 -31.4146049152348,-64.1744831312668 -31.4149256261472,-64.1744486780417 -31.4159848679955,-64.1737087534956 -31.4173549659221,-64.1735477223798 -31.4179489199147,-64.1726188560656 -31.4213750927868,-64.1720188634989 -31.4224050896656,-64.1719142193052 -31.4225097537168,-64.1741006942575 -31.4233961462789,-64.1741190183463 -31.4233950542509,-64.1744290211688 -31.4235351125002,-64.1747990143051 -31.4236950547695,-64.1766890653053 -31.4231750450814,-64.177869057108 -31.4228550708877,-64.1793291446673 -31.4224850591947,-64.1807291367698 -31.4221450367397,-64.1820591830096 -31.4218151117329,-64.1834392022112 -31.4214751649708,-64.1837792090802 -31.4213951351928,-64.1843892379204 -31.4212251506373,-64.1847592056859 -31.4211251641998,-64.1861092272689 -31.4207653085696))",0001,ENCUENTRO VECINAL CÓRDOBA,11,0.0631440695089917
14,"POLYGON ((-64.1861092272689 -31.4207653085696,-64.1875292958514 -31.4203753337674,-64.1888892710623 -31.4200154385692,-64.1882691792397 -31.4185053927014,-64.1896792101996 -31.4181254649188,-64.1898792894704 -31.4185655560783,-64.1899592378719 -31.4182954909372,-64.1900192616089 -31.4181055019919,-64.1903492230648 -31.418005576824,-64.1909392308786 -31.417855598895,-64.1922392737766 -31.4174657172909,-64.1935393037842 -31.4170759252672,-64.1935486374054 -31.417073171994,-64.1930884465975 -31.4158388576447,-64.1926576389475 -31.4146832473701,-64.1922176837468 -31.4135031558838,-64.1922091360094 -31.4135056497798,-64.1918990688007 -31.4127356096,-64.1918890864313 -31.4124055503414,-64.1916090614714 -31.4123855118678,-64.1914790191666 -31.4116854961479,-64.1911890108694 -31.4111954228196,-64.1906790034532 -31.4101153494049,-64.1906780096359 -31.4101129001196,-64.1895088145765 -31.4104549520711,-64.1895089810733 -31.4104553152022,-64.1880989213256 -31.4108651901043,-64.1868089243864 -31.4112550369833,-64.1853788899701 -31.4116649874855,-64.1839888953815 -31.4120848870191,-64.1826588089084 -31.4124648725162,-64.1813287785376 -31.412854869499,-64.180018793424 -31.4132347794125,-64.1786087229925 -31.4136047868385,-64.1773086874155 -31.4139848374826,-64.1773034631669 -31.4139724071019,-64.1758639375851 -31.4144426465717,-64.1752630181285 -31.4146049152348,-64.1744831312668 -31.4149256261472,-64.1744486780417 -31.4159848679955,-64.1737087534956 -31.4173549659221,-64.1735477223798 -31.4179489199147,-64.1726188560656 -31.4213750927868,-64.1720188634989 -31.4224050896656,-64.1719142193052 -31.4225097537168,-64.1741006942575 -31.4233961462789,-64.1741190183463 -31.4233950542509,-64.1744290211688 -31.4235351125002,-64.1747990143051 -31.4236950547695,-64.1766890653053 -31.4231750450814,-64.177869057108 -31.4228550708877,-64.1793291446673 -31.4224850591947,-64.1807291367698 -31.4221450367397,-64.1820591830096 -31.4218151117329,-64.1834392022112 -31.4214751649708,-64.1837792090802 -31.4213951351928,-64.1843892379204 -31.4212251506373,-64.1847592056859 -31.4211251641998,-64.1861092272689 -31.4207653085696))",0001,POLÍTICA ABIERTA PARA LA INTEGRIDAD SOCIAL (P.A.I.S.),11,0.0012123661345726
15,"POLYGON ((-64.1861092272689 -31.4207653085696,-64.1875292958514 -31.4203753337674,-64.1888892710623 -31.4200154385692,-64.1882691792397 -31.4185053927014,-64.1896792101996 -31.4181254649188,-64.1898792894704 -31.4185655560783,-64.1899592378719 -31.4182954909372,-64.1900192616089 -31.4181055019919,-64.1903492230648 -31.418005576824,-64.1909392308786 -31.417855598895,-64.1922392737766 -31.4174657172909,-64.1935393037842 -31.4170759252672,-64.1935486374054 -31.417073171994,-64.1930884465975 -31.4158388576447,-64.1926576389475 -31.4146832473701,-64.1922176837468 -31.4135031558838,-64.1922091360094 -31.4135056497798,-64.1918990688007 -31.4127356096,-64.1918890864313 -31.4124055503414,-64.1916090614714 -31.4123855118678,-64.1914790191666 -31.4116854961479,-64.1911890108694 -31.4111954228196,-64.1906790034532 -31.4101153494049,-64.1906780096359 -31.4101129001196,-64.1895088145765 -31.4104549520711,-64.1895089810733 -31.4104553152022,-64.1880989213256 -31.4108651901043,-64.1868089243864 -31.4112550369833,-64.1853788899701 -31.4116649874855,-64.1839888953815 -31.4120848870191,-64.1826588089084 -31.4124648725162,-64.1813287785376 -31.412854869499,-64.180018793424 -31.4132347794125,-64.1786087229925 -31.4136047868385,-64.1773086874155 -31.4139848374826,-64.1773034631669 -31.4139724071019,-64.1758639375851 -31.4144426465717,-64.1752630181285 -31.4146049152348,-64.1744831312668 -31.4149256261472,-64.1744486780417 -31.4159848679955,-64.1737087534956 -31.4173549659221,-64.1735477223798 -31.4179489199147,-64.1726188560656 -31.4213750927868,-64.1720188634989 -31.4224050896656,-64.1719142193052 -31.4225097537168,-64.1741006942575 -31.4233961462789,-64.1741190183463 -31.4233950542509,-64.1744290211688 -31.4235351125002,-64.1747990143051 -31.4236950547695,-64.1766890653053 -31.4231750450814,-64.177869057108 -31.4228550708877,-64.1793291446673 -31.4224850591947,-64.1807291367698 -31.4221450367397,-64.1820591830096 -31.4218151117329,-64.1834392022112 -31.4214751649708,-64.1837792090802 -31.4213951351928,-64.1843892379204 -31.4212251506373,-64.1847592056859 -31.4211251641998,-64.1861092272689 -31.4207653085696))",0001,UNIÓN CÍVICA RADICAL,11,0.2161042634875732
16,"POLYGON ((-64.1861092272689 -31.4207653085696,-64.1875292958514 -31.4203753337674,-64.1888892710623 -31.4200154385692,-64.1882691792397 -31.4185053927014,-64.1896792101996 -31.4181254649188,-64.1898792894704 -31.4185655560783,-64.1899592378719 -31.4182954909372,-64.1900192616089 -31.4181055019919,-64.1903492230648 -31.418005576824,-64.1909392308786 -31.417855598895,-64.1922392737766 -31.4174657172909,-64.1935393037842 -31.4170759252672,-64.1935486374054 -31.417073171994,-64.1930884465975 -31.4158388576447,-64.1926576389475 -31.4146832473701,-64.1922176837468 -31.4135031558838,-64.1922091360094 -31.4135056497798,-64.1918990688007 -31.4127356096,-64.1918890864313 -31.4124055503414,-64.1916090614714 -31.4123855118678,-64.1914790191666 -31.4116854961479,-64.1911890108694 -31.4111954228196,-64.1906790034532 -31.4101153494049,-64.1906780096359 -31.4101129001196,-64.1895088145765 -31.4104549520711,-64.1895089810733 -31.4104553152022,-64.1880989213256 -31.4108651901043,-64.1868089243864 -31.4112550369833,-64.1853788899701 -31.4116649874855,-64.1839888953815 -31.4120848870191,-64.1826588089084 -31.4124648725162,-64.1813287785376 -31.412854869499,-64.180018793424 -31.4132347794125,-64.1786087229925 -31.4136047868385,-64.1773086874155 -31.4139848374826,-64.1773034631669 -31.4139724071019,-64.1758639375851 -31.4144426465717,-64.1752630181285 -31.4146049152348,-64.1744831312668 -31.4149256261472,-64.1744486780417 -31.4159848679955,-64.1737087534956 -31.4173549659221,-64.1735477223798 -31.4179489199147,-64.1726188560656 -31.4213750927868,-64.1720188634989 -31.4224050896656,-64.1719142193052 -31.4225097537168,-64.1741006942575 -31.4233961462789,-64.1741190183463 -31.4233950542509,-64.1744290211688 -31.4235351125002,-64.1747990143051 -31.4236950547695,-64.1766890653053 -31.4231750450814,-64.177869057108 -31.4228550708877,-64.1793291446673 -31.4224850591947,-64.1807291367698 -31.4221450367397,-64.1820591830096 -31.4218151117329,-64.1834392022112 -31.4214751649708,-64.1837792090802 -31.4213951351928,-64.1843892379204 -31.4212251506373,-64.1847592056859 -31.4211251641998,-64.1861092272689 -31.4207653085696))",0001,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,11,0.0608203677510608
17,"POLYGON ((-64.1861092272689 -31.4207653085696,-64.1875292958514 -31.4203753337674,-64.1888892710623 -31.4200154385692,-64.1882691792397 -31.4185053927014,-64.1896792101996 -31.4181254649188,-64.1898792894704 -31.4185655560783,-64.1899592378719 -31.4182954909372,-64.1900192616089 -31.4181055019919,-64.1903492230648 -31.418005576824,-64.1909392308786 -31.417855598895,-64.1922392737766 -31.4174657172909,-64.1935393037842 -31.4170759252672,-64.1935486374054 -31.417073171994,-64.1930884465975 -31.4158388576447,-64.1926576389475 -31.4146832473701,-64.1922176837468 -31.4135031558838,-64.1922091360094 -31.4135056497798,-64.1918990688007 -31.4127356096,-64.1918890864313 -31.4124055503414,-64.1916090614714 -31.4123855118678,-64.1914790191666 -31.4116854961479,-64.1911890108694 -31.4111954228196,-64.1906790034532 -31.4101153494049,-64.1906780096359 -31.4101129001196,-64.1895088145765 -31.4104549520711,-64.1895089810733 -31.4104553152022,-64.1880989213256 -31.4108651901043,-64.1868089243864 -31.4112550369833,-64.1853788899701 -31.4116649874855,-64.1839888953815 -31.4120848870191,-64.1826588089084 -31.4124648725162,-64.1813287785376 -31.412854869499,-64.180018793424 -31.4132347794125,-64.1786087229925 -31.4136047868385,-64.1773086874155 -31.4139848374826,-64.1773034631669 -31.4139724071019,-64.1758639375851 -31.4144426465717,-64.1752630181285 -31.4146049152348,-64.1744831312668 -31.4149256261472,-64.1744486780417 -31.4159848679955,-64.1737087534956 -31.4173549659221,-64.1735477223798 -31.4179489199147,-64.1726188560656 -31.4213750927868,-64.1720188634989 -31.4224050896656,-64.1719142193052 -31.4225097537168,-64.1741006942575 -31.4233961462789,-64.1741190183463 -31.4233950542509,-64.1744290211688 -31.4235351125002,-64.1747990143051 -31.4236950547695,-64.1766890653053 -31.4231750450814,-64.177869057108 -31.4228550708877,-64.1793291446673 -31.4224850591947,-64.1807291367698 -31.4221450367397,-64.1820591830096 -31.4218151117329,-64.1834392022112 -31.4214751649708,-64.1837792090802 -31.4213951351928,-64.1843892379204 -31.4212251506373,-64.1847592056859 -31.4211251641998,-64.1861092272689 -31.4207653085696))",0001,MOVIMIENTO AVANZADA SOCIALISTA,11,0.0050515255607193
18,"POLYGON ((-64.1861092272689 -31.4207653085696,-64.1875292958514 -31.4203753337674,-64.1888892710623 -31.4200154385692,-64.1882691792397 -31.4185053927014,-64.1896792101996 -31.4181254649188,-64.1898792894704 -31.4185655560783,-64.1899592378719 -31.4182954909372,-64.1900192616089 -31.4181055019919,-64.1903492230648 -31.418005576824,-64.1909392308786 -31.417855598895,-64.1922392737766 -31.4174657172909,-64.1935393037842 -31.4170759252672,-64.1935486374054 -31.417073171994,-64.1930884465975 -31.4158388576447,-64.1926576389475 -31.4146832473701,-64.1922176837468 -31.4135031558838,-64.1922091360094 -31.4135056497798,-64.1918990688007 -31.4127356096,-64.1918890864313 -31.4124055503414,-64.1916090614714 -31.4123855118678,-64.1914790191666 -31.4116854961479,-64.1911890108694 -31.4111954228196,-64.1906790034532 -31.4101153494049,-64.1906780096359 -31.4101129001196,-64.1895088145765 -31.4104549520711,-64.1895089810733 -31.4104553152022,-64.1880989213256 -31.4108651901043,-64.1868089243864 -31.4112550369833,-64.1853788899701 -31.4116649874855,-64.1839888953815 -31.4120848870191,-64.1826588089084 -31.4124648725162,-64.1813287785376 -31.412854869499,-64.180018793424 -31.4132347794125,-64.1786087229925 -31.4136047868385,-64.1773086874155 -31.4139848374826,-64.1773034631669 -31.4139724071019,-64.1758639375851 -31.4144426465717,-64.1752630181285 -31.4146049152348,-64.1744831312668 -31.4149256261472,-64.1744486780417 -31.4159848679955,-64.1737087534956 -31.4173549659221,-64.1735477223798 -31.4179489199147,-64.1726188560656 -31.4213750927868,-64.1720188634989 -31.4224050896656,-64.1719142193052 -31.4225097537168,-64.1741006942575 -31.4233961462789,-64.1741190183463 -31.4233950542509,-64.1744290211688 -31.4235351125002,-64.1747990143051 -31.4236950547695,-64.1766890653053 -31.4231750450814,-64.177869057108 -31.4228550708877,-64.1793291446673 -31.4224850591947,-64.1807291367698 -31.4221450367397,-64.1820591830096 -31.4218151117329,-64.1834392022112 -31.4214751649708,-64.1837792090802 -31.4213951351928,-64.1843892379204 -31.4212251506373,-64.1847592056859 -31.4211251641998,-64.1861092272689 -31.4207653085696))",0001,HACEMOS POR CORDOBA,9,0.313497676298242
19,"POLYGON ((-64.1861092272689 -31.4207653085696,-64.1875292958514 -31.4203753337674,-64.1888892710623 -31.4200154385692,-64.1882691792397 -31.4185053927014,-64.1896792101996 -31.4181254649188,-64.1898792894704 -31.4185655560783,-64.1899592378719 -31.4182954909372,-64.1900192616089 -31.4181055019919,-64.1903492230648 -31.418005576824,-64.1909392308786 -31.417855598895,-64.1922392737766 -31.4174657172909,-64.1935393037842 -31.4170759252672,-64.1935486374054 -31.417073171994,-64.1930884465975 -31.4158388576447,-64.1926576389475 -31.4146832473701,-64.1922176837468 -31.4135031558838,-64.1922091360094 -31.4135056497798,-64.1918990688007 -31.4127356096,-64.1918890864313 -31.4124055503414,-64.1916090614714 -31.4123855118678,-64.1914790191666 -31.4116854961479,-64.1911890108694 -31.4111954228196,-64.1906790034532 -31.4101153494049,-64.1906780096359 -31.4101129001196,-64.1895088145765 -31.4104549520711,-64.1895089810733 -31.4104553152022,-64.1880989213256 -31.4108651901043,-64.1868089243864 -31.4112550369833,-64.1853788899701 -31.4116649874855,-64.1839888953815 -31.4120848870191,-64.1826588089084 -31.4124648725162,-64.1813287785376 -31.412854869499,-64.180018793424 -31.4132347794125,-64.1786087229925 -31.4136047868385,-64.1773086874155 -31.4139848374826,-64.1773034631669 -31.4139724071019,-64.1758639375851 -31.4144426465717,-64.1752630181285 -31.4146049152348,-64.1744831312668 -31.4149256261472,-64.1744486780417 -31.4159848679955,-64.1737087534956 -31.4173549659221,-64.1735477223798 -31.4179489199147,-64.1726188560656 -31.4213750927868,-64.1720188634989 -31.4224050896656,-64.1719142193052 -31.4225097537168,-64.1741006942575 -31.4233961462789,-64.1741190183463 -31.4233950542509,-64.1744290211688 -31.4235351125002,-64.1747990143051 -31.4236950547695,-64.1766890653053 -31.4231750450814,-64.177869057108 -31.4228550708877,-64.1793291446673 -31.4224850591947,-64.1807291367698 -31.4221450367397,-64.1820591830096 -31.4218151117329,-64.1834392022112 -31.4214751649708,-64.1837792090802 -31.4213951351928,-64.1843892379204 -31.4212251506373,-64.1847592056859 -31.4211251641998,-64.1861092272689 -31.4207653085696))",0001,MOVIMIENTO DE ACCIÓN VECINAL,9,0.0031319458476459
20,"POLYGON ((-64.1861092272689 -31.4207653085696,-64.1875292958514 -31.4203753337674,-64.1888892710623 -31.4200154385692,-64.1882691792397 -31.4185053927014,-64.1896792101996 -31.4181254649188,-64.1898792894704 -31.4185655560783,-64.1899592378719 -31.4182954909372,-64.1900192616089 -31.4181055019919,-64.1903492230648 -31.418005576824,-64.1909392308786 -31.417855598895,-64.1922392737766 -31.4174657172909,-64.1935393037842 -31.4170759252672,-64.1935486374054 -31.417073171994,-64.1930884465975 -31.4158388576447,-64.1926576389475 -31.4146832473701,-64.1922176837468 -31.4135031558838,-64.1922091360094 -31.4135056497798,-64.1918990688007 -31.4127356096,-64.1918890864313 -31.4124055503414,-64.1916090614714 -31.4123855118678,-64.1914790191666 -31.4116854961479,-64.1911890108694 -31.4111954228196,-64.1906790034532 -31.4101153494049,-64.1906780096359 -31.4101129001196,-64.1895088145765 -31.4104549520711,-64.1895089810733 -31.4104553152022,-64.1880989213256 -31.4108651901043,-64.1868089243864 -31.4112550369833,-64.1853788899701 -31.4116649874855,-64.1839888953815 -31.4120848870191,-64.1826588089084 -31.4124648725162,-64.1813287785376 -31.412854869499,-64.180018793424 -31.4132347794125,-64.1786087229925 -31.4136047868385,-64.1773086874155 -31.4139848374826,-64.1773034631669 -31.4139724071019,-64.1758639375851 -31.4144426465717,-64.1752630181285 -31.4146049152348,-64.1744831312668 -31.4149256261472,-64.1744486780417 -31.4159848679955,-64.1737087534956 -31.4173549659221,-64.1735477223798 -31.4179489199147,-64.1726188560656 -31.4213750927868,-64.1720188634989 -31.4224050896656,-64.1719142193052 -31.4225097537168,-64.1741006942575 -31.4233961462789,-64.1741190183463 -31.4233950542509,-64.1744290211688 -31.4235351125002,-64.1747990143051 -31.4236950547695,-64.1766890653053 -31.4231750450814,-64.177869057108 -31.4228550708877,-64.1793291446673 -31.4224850591947,-64.1807291367698 -31.4221450367397,-64.1820591830096 -31.4218151117329,-64.1834392022112 -31.4214751649708,-64.1837792090802 -31.4213951351928,-64.1843892379204 -31.4212251506373,-64.1847592056859 -31.4211251641998,-64.1861092272689 -31.4207653085696))",0001,VECINALISMO INDEPENDIENTE,9,0.0100020206102242
