,CIRCUITO,NOMBRE CIRCUITO,PARTIDO,CANTIDAD DE VOTOS,CANTIDAD DE VOTOS POR CIRCUITO,PORCENTAJE DE VOTOS DEL CIRCUITO,CIRCUITO_NUEVO
49,5F,RENACIMIENTO,HACEMOS POR CORDOBA,2226,3023,0.7363546146,005F
50,5F,RENACIMIENTO,CORDOBA CAMBIA,229,3023,0.07575256368,005F
51,5G,SAN VICENTE,UNIÓN CÍVICA RADICAL,1051,9997,0.1051315395,005G
52,5G,SAN VICENTE,HACEMOS POR CORDOBA,4845,9997,0.4846453936,005G
53,5G,SAN VICENTE,CORDOBA CAMBIA,2322,9997,0.2322696809,005G
54,5H,VILLA BOEDO,UNIÓN CÍVICA RADICAL,54,1207,0.04473902237,005H
55,5H,VILLA BOEDO,HACEMOS POR CORDOBA,960,1207,0.7953603977,005H
56,5H,VILLA BOEDO,CORDOBA CAMBIA,74,1207,0.06130903065,005H
57,5I,COLINAS DEL SUR,UNIÓN CÍVICA RADICAL,286,3378,0.08466548253,005I
58,5I,COLINAS DEL SUR,HACEMOS POR CORDOBA,2284,3378,0.6761397276,005I
59,5I,COLINAS DEL SUR,CORDOBA CAMBIA,387,3378,0.1145648313,005I
60,6,ALTO GRAL PAZ,UNIÓN CÍVICA RADICAL,313,3358,0.09321024419,0006
61,6,ALTO GRAL PAZ,HACEMOS POR CORDOBA,1773,3358,0.5279928529,0006
62,6,ALTO GRAL PAZ,CORDOBA CAMBIA,707,3358,0.2105419893,0006
63,6A,BAJADA DE PIEDRA,UNIÓN CÍVICA RADICAL,14,147,0.09523809524,006A
64,6A,BAJADA DE PIEDRA,HACEMOS POR CORDOBA,90,147,0.612244898,006A
65,6A,BAJADA DE PIEDRA,CORDOBA CAMBIA,25,147,0.1700680272,006A
66,6B,CHACRA DE LA MERCED,UNIÓN CÍVICA RADICAL,14,151,0.09271523179,006B
67,6B,CHACRA DE LA MERCED,HACEMOS POR CORDOBA,105,151,0.6953642384,006B
68,6B,CHACRA DE LA MERCED,CORDOBA CAMBIA,16,151,0.1059602649,006B
69,6C,GRAL PAZ,UNIÓN CÍVICA RADICAL,775,8395,0.09231685527,006C
70,6C,GRAL PAZ,HACEMOS POR CORDOBA,3316,8395,0.394997022,006C
71,6C,GRAL PAZ,CORDOBA CAMBIA,2559,8395,0.3048243002,006C
72,6D,JUNIORS,UNIÓN CÍVICA RADICAL,406,5032,0.0806836248,006D
73,6D,JUNIORS,HACEMOS POR CORDOBA,2111,5032,0.4195151033,006D
74,6D,JUNIORS,CORDOBA CAMBIA,1535,5032,0.3050476948,006D
75,6E,LA FLORESTA SUD,UNIÓN CÍVICA RADICAL,73,1489,0.04902619208,006E
76,6E,LA FLORESTA SUD,HACEMOS POR CORDOBA,1183,1489,0.7944929483,006E
77,6E,LA FLORESTA SUD,CORDOBA CAMBIA,111,1489,0.07454667562,006E
78,6F,YAPEYU,UNIÓN CÍVICA RADICAL,404,5262,0.07677689092,006F
79,6F,YAPEYU,HACEMOS POR CORDOBA,3339,5262,0.6345496009,006F
80,6F,YAPEYU,CORDOBA CAMBIA,798,5262,0.1516533637,006F
81,7,AEROPUERTO,UNIÓN CÍVICA RADICAL,5,62,0.08064516129,0007
82,7,AEROPUERTO,HACEMOS POR CORDOBA,39,62,0.6290322581,0007
83,7,AEROPUERTO,CORDOBA CAMBIA,13,62,0.2096774194,0007
84,7A,GUIÑAZU,UNIÓN CÍVICA RADICAL,350,4395,0.07963594994,007A
