"","...1","titulo","eleccion","circuito","candidato","N°","agrupacion","votos","vot valido","vot nulo","total votantes","electores en padron","codigo_circuito","codigo_circuito1"
"30",71,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 117   - SANTA EUFEMIA","Gobernador y Vicegobernador","A830","FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES","23","1.486","44","1.619","2.149","  117","  117"
"31",72,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 117   - SANTA EUFEMIA","Gobernador y Vicegobernador","P238","MOVIMIENTO AVANZADA SOCIALISTA","4","1.486","44","1.619","2.149","  117","  117"
"32",73,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 117   - SANTA EUFEMIA","Gobernador y Vicegobernador","A601","HACEMOS POR CORDOBA","997","1.486","44","1.619","2.149","  117","  117"
"33",74,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 117   - SANTA EUFEMIA","Gobernador y Vicegobernador","P57","MOVIMIENTO DE ACCI<U+FFFD>N VECINAL","6","1.486","44","1.619","2.149","  117","  117"
"34",75,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 117   - SANTA EUFEMIA","Gobernador y Vicegobernador","P191","VECINALISMO INDEPENDIENTE","7","1.486","44","1.619","2.149","  117","  117"
"35",76,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 117   - SANTA EUFEMIA","Gobernador y Vicegobernador","P200","PARTIDO UNION CIUDADANA","7","1.486","44","1.619","2.149","  117","  117"
"36",77,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 117   - SANTA EUFEMIA","Gobernador y Vicegobernador","A300","MST - NUEVA IZQUIERDA","16","1.486","44","1.619","2.149","  117","  117"
"37",78,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 389   - LABORDE","Gobernador y Vicegobernador","P22","PARTIDO HUMANISTA","36","3.636","85","3.934","5.255","  389","  389"
"38",79,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 389   - LABORDE","Gobernador y Vicegobernador","A500","CORDOBA CAMBIA","617","3.636","85","3.934","5.255","  389","  389"
"39",80,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 389   - LABORDE","Gobernador y Vicegobernador","P217","ENCUENTRO VECINAL C<U+FFFD>RDOBA","22","3.636","85","3.934","5.255","  389","  389"
"40",81,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 389   - LABORDE","Gobernador y Vicegobernador","20","UNI<U+FFFD>N DEL CENTRO DEMOCR<U+FFFD>TICO (U.CE.DE.)","15","3.636","85","3.934","5.255","  389","  389"
"41",82,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 389   - LABORDE","Gobernador y Vicegobernador","3","UNI<U+FFFD>N C<U+FFFD>VICA RADICAL","483","3.636","85","3.934","5.255","  389","  389"
"42",83,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 389   - LABORDE","Gobernador y Vicegobernador","A830","FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES","44","3.636","85","3.934","5.255","  389","  389"
"43",84,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 389   - LABORDE","Gobernador y Vicegobernador","P238","MOVIMIENTO AVANZADA SOCIALISTA","20","3.636","85","3.934","5.255","  389","  389"
"44",85,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 389   - LABORDE","Gobernador y Vicegobernador","A601","HACEMOS POR CORDOBA","2.341","3.636","85","3.934","5.255","  389","  389"
"45",86,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 389   - LABORDE","Gobernador y Vicegobernador","P57","MOVIMIENTO DE ACCI<U+FFFD>N VECINAL","3","3.636","85","3.934","5.255","  389","  389"
"46",87,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 389   - LABORDE","Gobernador y Vicegobernador","P191","VECINALISMO INDEPENDIENTE","10","3.636","85","3.934","5.255","  389","  389"
"47",88,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 389   - LABORDE","Gobernador y Vicegobernador","P200","PARTIDO UNION CIUDADANA","12","3.636","85","3.934","5.255","  389","  389"
"48",89,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 389   - LABORDE","Gobernador y Vicegobernador","A300","MST - NUEVA IZQUIERDA","33","3.636","85","3.934","5.255","  389","  389"
"49",228,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 53B   - EL ABRA","Gobernador y Vicegobernador","P22","PARTIDO HUMANISTA","0","6","0","8","43","  53B","  53B"
"50",229,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 53B   - EL ABRA","Gobernador y Vicegobernador","A500","CORDOBA CAMBIA","0","6","0","8","43","  53B","  53B"
"51",230,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 53B   - EL ABRA","Gobernador y Vicegobernador","P217","ENCUENTRO VECINAL C<U+FFFD>RDOBA","0","6","0","8","43","  53B","  53B"
"52",231,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 53B   - EL ABRA","Gobernador y Vicegobernador","20","UNI<U+FFFD>N DEL CENTRO DEMOCR<U+FFFD>TICO (U.CE.DE.)","0","6","0","8","43","  53B","  53B"
"53",232,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 53B   - EL ABRA","Gobernador y Vicegobernador","3","UNI<U+FFFD>N C<U+FFFD>VICA RADICAL","5","6","0","8","43","  53B","  53B"
